#Accession	Name	Function	Category	TC
TIGR00316	cdhC	CO dehydrogenase/CO-methylating acetyl-CoA synthase complex, beta subunit	Energy metabolism	355.95
TIGR00317	cobS	cobalamin 5'-phosphate synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	110
TIGR00318	cyaB	putative adenylyl cyclase CyaB	Regulatory functions	57.95
TIGR00319	desulf_FeS4	desulfoferrodoxin FeS4 iron-binding domain	Energy metabolism	36.05
TIGR00320	dfx_rbo	desulfoferrodoxin	Energy metabolism	146.9
TIGR00321	dhys	deoxyhypusine synthase	Protein fate	304.25
TIGR00322	diphth2_R	diphthamide biosynthesis enzyme Dph1/Dph2 domain	Other	35
TIGR00323	eIF-6	putative translation initiation factor eIF-6	Protein synthesis	137.75
TIGR00324	endA	tRNA-intron lyase	Transcription	59.6
TIGR00325	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	Cell envelope	187.25
TIGR00326	eubact_ribD	riboflavin biosynthesis protein RibD	Biosynthesis of cofactors, prosthetic groups, and carriers	156.35
TIGR00327	secE_euk_arch	protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic	Protein fate	36.2
TIGR00328	flhB	flagellar biosynthetic protein FlhB	Cellular processes	349.25
TIGR00329	gcp_kae1	metallohydrolase, glycoprotease/Kae1 family	Protein fate	207.8
TIGR00330	glpX	fructose-1,6-bisphosphatase, class II	Energy metabolism	259.3
TIGR00331	hrcA	heat-inducible transcription repressor HrcA	Regulatory functions	197.2
TIGR00332	neela_ferrous	desulfoferrodoxin ferrous iron-binding domain	Energy metabolism	61.9
TIGR00333	nrdI	nrdI protein	Purines, pyrimidines, nucleosides, and nucleotides	74.65
TIGR00334	5S_RNA_mat_M5	ribonuclease M5	Transcription	110.65
TIGR00335	primase_sml	putative DNA primase, eukaryotic-type, small subunit	DNA metabolism	143.5
TIGR00336	pyrE	orotate phosphoribosyltransferase	Purines, pyrimidines, nucleosides, and nucleotides	106.8
TIGR00337	PyrG	CTP synthase	Purines, pyrimidines, nucleosides, and nucleotides	462.75
TIGR00338	serB	phosphoserine phosphatase SerB	Amino acid biosynthesis	144.15
TIGR00339	sopT	sulfate adenylyltransferase	Central intermediary metabolism	322.95
TIGR00340	zpr1_rel	zinc finger protein ZPR1 homolog	Unknown function	117.95
TIGR00341	TIGR00341	TIGR00341 family protein	Hypothetical proteins	94.75
TIGR00342	TIGR00342	tRNA sulfurtransferase ThiI	Protein synthesis	264.5
TIGR00343	TIGR00343	pyridoxal 5'-phosphate synthase, synthase subunit Pdx1	Biosynthesis of cofactors, prosthetic groups, and carriers	438.45
TIGR00344	alaS	alanine--tRNA ligase	Protein synthesis	457.05
TIGR00345	GET3_arsA_TRC40	transport-energizing ATPase, TRC40/GET3/ArsA family	Hypothetical proteins	135
TIGR00346	azlC	azaleucine resistance protein AzlC	Transport and binding proteins	332.35
TIGR00347	bioD	dethiobiotin synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	83.3
TIGR00348	hsdR	type I site-specific deoxyribonuclease, HsdR family	DNA metabolism	284.55
TIGR00350	lytR_cpsA_psr	cell envelope-related function transcriptional attenuator common domain	Regulatory functions	62.3
TIGR00351	narI	respiratory nitrate reductase, gamma subunit	Energy metabolism	105.55
TIGR00353	nrfE	cytochrome c-type biogenesis protein CcmF	Energy metabolism	569.05
TIGR00354	polC	DNA polymerase II, large subunit DP2	DNA metabolism	702.15
TIGR00355	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	Purines, pyrimidines, nucleosides, and nucleotides	528
TIGR00357	TIGR00357	methionine-R-sulfoxide reductase	Protein fate	113.05
TIGR00358	3_prime_RNase	VacB and RNase II family 3'-5' exoribonucleases	Transcription	368.6
TIGR00359	cello_pts_IIC	PTS system, cellobiose-specific IIC component	Transport and binding proteins	434.45
TIGR00360	ComEC_N-term	ComEC/Rec2-related protein	Unknown function	36.5
TIGR00361	ComEC_Rec2	DNA internalization-related competence protein ComEC/Rec2	Cellular processes	190.05
TIGR00362	DnaA	chromosomal replication initiator protein DnaA	DNA metabolism	343.9
TIGR00363	TIGR00363	lipoprotein, YaeC family	Cell envelope	228.85
TIGR00364	TIGR00364	queuosine biosynthesis protein QueC	Unknown function	150.3
TIGR00365	TIGR00365	monothiol glutaredoxin, Grx4 family	Energy metabolism	117.1
TIGR00366	TIGR00366	TIGR00366 family protein	Hypothetical proteins	575.75
TIGR00367	TIGR00367	K+-dependent Na+/Ca+ exchanger homolog	Unknown function	179.65
TIGR00368	TIGR00368	Mg chelatase-like protein	Unknown function	362.4
TIGR00369	unchar_dom_1	uncharacterized domain 1	Other	36.6
TIGR00370	TIGR00370	sensor histidine kinase inhibitor, KipI family	Hypothetical proteins	145.55
TIGR00372	cas4	CRISPR-associated protein Cas4	Other	65
TIGR00373	TIGR00373	transcription factor E	Transcription	149.5
TIGR00374	TIGR00374	TIGR00374 family protein	Unknown function	43.2
TIGR00375	TIGR00375	TIGR00375 family protein	Hypothetical proteins	326.6
TIGR00376	TIGR00376	putative DNA helicase	DNA metabolism	348.9
TIGR00377	ant_ant_sig	anti-anti-sigma factor	Regulatory functions	53.45
TIGR00378	cax	calcium/proton exchanger	Transport and binding proteins	211.15
TIGR00379	cobB	cobyrinic acid a,c-diamide synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	261.4
TIGR00380	cobD	cobalamin biosynthesis protein CobD	Biosynthesis of cofactors, prosthetic groups, and carriers	165.9
TIGR00381	cdhD	CO dehydrogenase/acetyl-CoA synthase, delta subunit	Energy metabolism	252.9
TIGR00382	clpX	ATP-dependent Clp protease, ATP-binding subunit ClpX	Protein fate	370.75
TIGR00383	corA	magnesium and cobalt transport protein CorA	Transport and binding proteins	200.75
TIGR00384	dhsB	succinate dehydrogenase and fumarate reductase iron-sulfur protein	Energy metabolism	88
TIGR00385	dsbE	periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily	Protein fate	123.15
TIGR00387	glcD	glycolate oxidase, subunit GlcD	Energy metabolism	567.9
TIGR00388	glyQ	glycine--tRNA ligase, alpha subunit	Protein synthesis	361.45
TIGR00389	glyS_dimeric	glycine--tRNA ligase	Protein synthesis	243.3
TIGR00390	hslU	ATP-dependent protease HslVU, ATPase subunit	Protein fate	362.45
TIGR00391	hydA	hydrogenase (NiFe) small subunit (hydA)	Energy metabolism	179.5
TIGR00392	ileS	isoleucine--tRNA ligase	Protein synthesis	621.4
TIGR00393	kpsF	sugar isomerase, KpsF/GutQ family	Energy metabolism	203.7
TIGR00394	lac_pts_IIC	PTS system, lactose-specific IIC component	Transport and binding proteins	614.4
TIGR00395	leuS_arch	leucine--tRNA ligase	Protein synthesis	648.5
TIGR00396	leuS_bact	leucine--tRNA ligase	Protein synthesis	548.4
TIGR00397	mauM_napG	MauM/NapG family ferredoxin-type protein	Energy metabolism	178.85
TIGR00398	metG	methionine--tRNA ligase	Protein synthesis	336.35
TIGR00399	metG_C_term	methionine--tRNA ligase, beta subunit	Protein synthesis	116.65
TIGR00400	mgtE	magnesium transporter	Transport and binding proteins	232.75
TIGR00401	msrA	peptide-methionine (S)-S-oxide reductase	Protein fate	108.1
TIGR00402	napF	ferredoxin-type protein NapF	Energy metabolism	102.2
TIGR00403	ndhI	NADH-plastoquinone oxidoreductase, I subunit	Energy metabolism	302.35
TIGR00405	KOW_elon_Spt5	transcription elongation factor Spt5	Other	69.95
TIGR00406	prmA	ribosomal protein L11 methyltransferase	Protein synthesis	183.15
TIGR00407	proA	glutamate-5-semialdehyde dehydrogenase	Amino acid biosynthesis	317.45
TIGR00408	proS_fam_I	proline--tRNA ligase	Protein synthesis	437
TIGR00409	proS_fam_II	proline--tRNA ligase	Protein synthesis	306.7
TIGR00410	lacE	PTS system, lactose/cellobiose family IIC component	Transport and binding proteins	236
TIGR00411	redox_disulf_1	redox-active disulfide protein 1	Unknown function	92.75
TIGR00412	redox_disulf_2	redox-active disulfide protein 2	Unknown function	73.5
TIGR00413	rlpA	rare lipoprotein A	Cell envelope	82.15
TIGR00414	serS	serine--tRNA ligase	Protein synthesis	301.65
TIGR00415	serS_MJ	serine--tRNA ligase	Protein synthesis	489.55
TIGR00416	sms	DNA repair protein RadA	DNA metabolism	403.05
TIGR00417	speE	spermidine synthase	Central intermediary metabolism	249.55
TIGR00418	thrS	threonine--tRNA ligase	Protein synthesis	383.65
TIGR00419	tim	triose-phosphate isomerase	Energy metabolism	130.6
TIGR00420	trmU	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	Protein synthesis	236.95
TIGR00421	ubiX_pad	polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases	Unknown function	108.9
TIGR00422	valS	valine--tRNA ligase	Protein synthesis	612.1
TIGR00423	TIGR00423	radical SAM domain protein, CofH subfamily	Hypothetical proteins	260.25
TIGR00424	APS_reduc	5'-adenylylsulfate reductase, thioredoxin-independent	Central intermediary metabolism	553.2
TIGR00425	CBF5	putative rRNA pseudouridine synthase	Protein synthesis	238.15
TIGR00426	TIGR00426	competence protein ComEA helix-hairpin-helix repeat region	Cellular processes	53.1
TIGR00427	TIGR00427	membrane protein, MarC family	Unknown function	99.2
TIGR00430	Q_tRNA_tgt	tRNA-guanine transglycosylase	Protein synthesis	306.75
TIGR00431	TruB	tRNA pseudouridine(55) synthase	Protein synthesis	151.45
TIGR00432	arcsn_tRNA_tgt	tRNA-guanine(15) transglycosylase	Protein synthesis	350
TIGR00433	bioB	biotin synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	230
TIGR00434	cysH	phosophoadenylyl-sulfate reductase	Central intermediary metabolism	165.1
TIGR00435	cysS	cysteine--tRNA ligase	Protein synthesis	340
TIGR00436	era	GTP-binding protein Era	Protein synthesis	116.25
TIGR00437	feoB	ferrous iron transport protein B	Transport and binding proteins	315.65
TIGR00438	rrmJ	ribosomal RNA large subunit methyltransferase J	Protein synthesis	300.15
TIGR00439	ftsX	putative protein insertion permease FtsX	Protein fate	402.25
TIGR00440	glnS	glutamine--tRNA ligase	Protein synthesis	425.8
TIGR00441	gmhA	phosphoheptose isomerase	Cell envelope	209.45
TIGR00442	hisS	histidine--tRNA ligase	Protein synthesis	286.75
TIGR00443	hisZ_biosyn_reg	ATP phosphoribosyltransferase, regulatory subunit	Amino acid biosynthesis	271.65
TIGR00444	mazG	MazG family protein	Unknown function	148.3
TIGR00445	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	Cell envelope	192.05
TIGR00446	nop2p	NOL1/NOP2/sun family putative RNA methylase	Protein synthesis	210.45
TIGR00447	pth	aminoacyl-tRNA hydrolase	Protein synthesis	143.15
TIGR00448	rpoE	DNA-directed RNA polymerase	Transcription	124.2
TIGR00449	tgt_general	tRNA-guanine family transglycosylase	Protein synthesis	47.6
TIGR00450	mnmE_trmE_thdF	tRNA modification GTPase TrmE	Protein synthesis	252.6
TIGR00451	unchar_dom_2	uncharacterized domain 2	Other	27
TIGR00452	TIGR00452	tRNA (mo5U34)-methyltransferase	Unknown function	275
TIGR00453	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	181.3
TIGR00454	TIGR00454	TIGR00454 family protein	Hypothetical proteins	174.7
TIGR00455	apsK	adenylyl-sulfate kinase	Central intermediary metabolism	138.7
TIGR00456	argS	arginine--tRNA ligase	Protein synthesis	261.65
TIGR00457	asnS	asparagine--tRNA ligase	Protein synthesis	342.6
TIGR00458	aspS_nondisc	aspartate--tRNA(Asn) ligase	Protein synthesis	368.4
TIGR00459	aspS_bact	aspartate--tRNA ligase	Protein synthesis	373.85
TIGR00460	fmt	methionyl-tRNA formyltransferase	Protein synthesis	201.5
TIGR00461	gcvP	glycine dehydrogenase	Energy metabolism	859.2
TIGR00462	genX	EF-P lysine aminoacylase GenX	Unknown function	286.9
TIGR00463	gltX_arch	glutamate--tRNA ligase	Protein synthesis	401.75
TIGR00464	gltX_bact	glutamate--tRNA ligase	Protein synthesis	289.95
TIGR00465	ilvC	ketol-acid reductoisomerase	Amino acid biosynthesis	226.15
TIGR00466	kdsB	3-deoxy-D-manno-octulosonate cytidylyltransferase	Cell envelope	155.2
TIGR00467	lysS_arch	lysine--tRNA ligase	Protein synthesis	147.55
TIGR00468	pheS	phenylalanine--tRNA ligase, alpha subunit	Protein synthesis	237.45
TIGR00469	pheS_mito	phenylalanine--tRNA ligase	Protein synthesis	258.35
TIGR00470	sepS	O-phosphoserine--tRNA ligase	Protein synthesis	380.65
TIGR00471	pheT_arch	phenylalanine--tRNA ligase, beta subunit	Protein synthesis	282.65
TIGR00472	pheT_bact	phenylalanine--tRNA ligase, beta subunit	Protein synthesis	402.65
TIGR00473	pssA	CDP-diacylglycerol-serine O-phosphatidyltransferase	Fatty acid and phospholipid metabolism	107
TIGR00474	selA	L-seryl-tRNA(Sec) selenium transferase	Protein synthesis	267.9
TIGR00475	selB	selenocysteine-specific translation elongation factor	Protein synthesis	242.25
TIGR00476	selD	selenide, water dikinase	Other	125
TIGR00477	tehB	tellurite resistance protein TehB	Cellular processes	219.5
TIGR00478	tly	TlyA family rRNA methyltransferase/putative hemolysin	Unknown function	185.8
TIGR00479	rumA	23S rRNA (uracil-5-)-methyltransferase RumA	Protein synthesis	183.55
TIGR00481	TIGR00481	Raf kinase inhibitor-like protein, YbhB/YbcL family	Unknown function	57.75
TIGR00482	TIGR00482	nicotinate (nicotinamide) nucleotide adenylyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	112.45
TIGR00483	EF-1_alpha	translation elongation factor EF-1, subunit alpha	Protein synthesis	540.1
TIGR00484	EF-G	translation elongation factor G	Protein synthesis	659.4
TIGR00485	EF-Tu	translation elongation factor Tu	Protein synthesis	522.4
TIGR00486	YbgI_SA1388	dinuclear metal center protein, YbgI/SA1388 family	Unknown function	130.55
TIGR00487	IF-2	translation initiation factor IF-2	Protein synthesis	424.4
TIGR00488	TIGR00488	putative HD superfamily hydrolase	Unknown function	70.15
TIGR00489	aEF-1_beta	translation elongation factor aEF-1 beta	Protein synthesis	61.2
TIGR00490	aEF-2	translation elongation factor aEF-2	Protein synthesis	738.45
TIGR00491	aIF-2	translation initiation factor aIF-2	Protein synthesis	554.75
TIGR00492	alr	alanine racemase	Cell envelope	168
TIGR00493	clpP	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP	Protein fate	308.6
TIGR00494	crcB	protein CrcB	Unknown function	80.45
TIGR00495	crvDNA_42K	DNA-binding protein, 42 kDa	Unknown function	430.05
TIGR00496	frr	ribosome recycling factor	Protein synthesis	149.1
TIGR00497	hsdM	type I restriction-modification system, M subunit	DNA metabolism	242.75
TIGR00498	lexA	repressor LexA	Regulatory functions	110.95
TIGR00499	lysS_bact	lysine--tRNA ligase	Protein synthesis	427.6
TIGR00500	met_pdase_I	methionine aminopeptidase, type I	Protein fate	171.35
TIGR00501	met_pdase_II	methionine aminopeptidase, type II	Protein fate	222.65
TIGR00502	nagB	glucosamine-6-phosphate deaminase	Central intermediary metabolism	236.9
TIGR00503	prfC	peptide chain release factor 3	Protein synthesis	466.95
TIGR00504	pyro_pdase	pyroglutamyl-peptidase I	Protein fate	201.75
TIGR00505	ribA	GTP cyclohydrolase II	Biosynthesis of cofactors, prosthetic groups, and carriers	205.85
TIGR00506	ribB	3,4-dihydroxy-2-butanone-4-phosphate synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	177.45
TIGR00507	aroE	shikimate dehydrogenase	Amino acid biosynthesis	200.2
TIGR00508	bioA	adenosylmethionine-8-amino-7-oxononanoate transaminase	Biosynthesis of cofactors, prosthetic groups, and carriers	405
TIGR00509	bisC_fam	molybdopterin guanine dinucleotide-containing S/N-oxide reductases	Other	1017.55
TIGR00510	lipA	lipoyl synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	310.25
TIGR00511	ribulose_e2b2	ribose-1,5-bisphosphate isomerase, e2b2 family	Energy metabolism	314.1
TIGR00512	salvage_mtnA	S-methyl-5-thioribose-1-phosphate isomerase	Amino acid biosynthesis	279
TIGR00513	accA	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit	Fatty acid and phospholipid metabolism	319.3
TIGR00514	accC	acetyl-CoA carboxylase, biotin carboxylase subunit	Fatty acid and phospholipid metabolism	626.5
TIGR00515	accD	acetyl-CoA carboxylase, carboxyl transferase, beta subunit	Fatty acid and phospholipid metabolism	317.45
TIGR00516	acpS	holo-[acyl-carrier-protein] synthase	Fatty acid and phospholipid metabolism	59.8
TIGR00517	acyl_carrier	acyl carrier protein	Fatty acid and phospholipid metabolism	70.45
TIGR00518	alaDH	alanine dehydrogenase	Energy metabolism	391.85
TIGR00519	asnASE_I	L-asparaginase, type I	Other	260.5
TIGR00520	asnASE_II	L-asparaginase, type II	Energy metabolism	314.3
TIGR00521	coaBC_dfp	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase	Biosynthesis of cofactors, prosthetic groups, and carriers	219.7
TIGR00522	dph5	diphthine synthase	Protein fate	114.3
TIGR00523	eIF-1A	translation initiation factor eIF-1A	Protein synthesis	102.9
TIGR00524	eIF-2B_rel	eIF-2B alpha/beta/delta-related uncharacterized proteins	Unknown function	185.85
TIGR00525	folB	dihydroneopterin aldolase	Biosynthesis of cofactors, prosthetic groups, and carriers	72.15
TIGR00526	folB_dom	FolB domain	Other	45.05
TIGR00527	gcvH	glycine cleavage system H protein	Energy metabolism	115.85
TIGR00528	gcvT	glycine cleavage system T protein	Energy metabolism	235.85
TIGR00529	AF0261	integral membrane protein, TIGR00529 family	Hypothetical proteins	378.4
TIGR00530	AGP_acyltrn	1-acylglycerol-3-phosphate O-acyltransferases	Fatty acid and phospholipid metabolism	102.95
TIGR00531	BCCP	acetyl-CoA carboxylase, biotin carboxyl carrier protein	Fatty acid and phospholipid metabolism	115.2
TIGR00532	HMG_CoA_R_NAD	hydroxymethylglutaryl-CoA reductase, degradative	Energy metabolism	259.95
TIGR00533	HMG_CoA_R_NADP	hydroxymethylglutaryl-CoA reductase (NADPH)	Central intermediary metabolism	441.8
TIGR00534	OpcA	glucose-6-phosphate dehydrogenase assembly protein OpcA	Protein fate	256.25
TIGR00535	SAM_DCase	S-adenosylmethionine decarboxylase proenzyme	Central intermediary metabolism	233.15
TIGR00536	hemK_fam	methyltransferase, HemK family	Protein fate	115.5
TIGR00537	hemK_rel_arch	putative methylase	Unknown function	87
TIGR00538	hemN	oxygen-independent coproporphyrinogen III oxidase	Biosynthesis of cofactors, prosthetic groups, and carriers	324.95
TIGR00539	hemN_rel	putative oxygen-independent coproporphyrinogen III oxidase	Biosynthesis of cofactors, prosthetic groups, and carriers	205.4
TIGR00540	TPR_hemY_coli	heme biosynthesis-associated TPR protein	Unknown function	142
TIGR00541	hisDCase_pyru	histidine decarboxylase, pyruvoyl type	Energy metabolism	346.65
TIGR00542	hxl6Piso_put	putative hexulose-6-phosphate isomerase	Energy metabolism	272.15
TIGR00543	isochor_syn	isochorismate synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	224.75
TIGR00544	lgt	prolipoprotein diacylglyceryl transferase	Protein fate	118.9
TIGR00545	lipoyltrans	lipoyltransferase and lipoate-protein ligase	Protein fate	201.85
TIGR00546	lnt	apolipoprotein N-acyltransferase	Protein fate	132.9
TIGR00547	lolA	outer membrane lipoprotein carrier protein LolA	Protein fate	48.6
TIGR00548	lolB	outer membrane lipoprotein LolB	Protein fate	59.6
TIGR00549	mevalon_kin	mevalonate kinase	Central intermediary metabolism	163.05
TIGR00550	nadA	quinolinate synthetase complex, A subunit	Biosynthesis of cofactors, prosthetic groups, and carriers	262.9
TIGR00551	nadB	L-aspartate oxidase	Biosynthesis of cofactors, prosthetic groups, and carriers	452.75
TIGR00552	nadE	NAD+ synthetase	Biosynthesis of cofactors, prosthetic groups, and carriers	63.65
TIGR00553	pabB	aminodeoxychorismate synthase, component I	Biosynthesis of cofactors, prosthetic groups, and carriers	328.4
